start_station_name,Duration
"Abbey Orchard Street, Westminster",1204.4480268757
"Abbotsbury Road, Holland Park",1373.4086769759451
"Aberdeen Place, St. John's Wood",1286.2316064510317
"Aberfeldy Street, Poplar",1794.329687664318
"Abingdon Green, Westminster",1442.129370520168
"Abingdon Villas, Kensington",1026.0925050641458
"Abyssinia Close, Clapham Junction",1900.4165114064506
"Ackroyd Drive, Bow",1073.3221292663063
"Ada Street, Hackney Central",1355.1114352273878
"Addison Road, Holland Park",1265.7619264214047
"Aintree Street, Fulham",1104.4838121070152
"Albany Street, The Regent's Park",1206.943854672868
"Albert Bridge Road, Battersea Park",1435.5621941542124
"Albert Embankment, Vauxhall",1406.3706284432978
"Albert Gardens, Stepney",1099.5149873981595
"Albert Gate, Hyde Park",2194.2826693732554
"Albert Square, Stockwell",1247.3160941721344
"Alderney Street, Pimlico",1020.1152985746244
"Aldersgate Street, Barbican",807.7395195756923
"Alfreda Street, Battersea Park",1316.4215118638565
"All Saints Church, Portobello",1375.2535349933332
"All Saints' Road, Portobello",1592.191669873028
"Allington Street, Victoria",1455.3032593224136
"Alma Road, Wandsworth",1580.0800711271531
"Alpha Grove, Millwall",1671.3101616900744
"Ampton Street , Clerkenwell",934.230836822956
"Ansell House, Stepney",983.572343997314
"Antill Road, Mile End",1341.4413367670838
"Aquatic Centre, Queen Elizabeth Olympic Park",2760.918036965318
"Archbishop's Park, Waterloo",1365.4988505426832
"Argyll Road, Kensington",1315.458957649798
"Arlington Road, Camden Town",1642.2894067856787
Arundel Street,1322.8808184755294
"Ashley Crescent, Battersea",1383.176182983028
"Ashley Place, Victoria",1110.7884785493145
"Ashmole Estate, Oval",1194.7291448615315
"Aston Street, Stepney",1104.7637708599357
"Austin Road, Battersea Park",1289.3629872384756
"Aylward Street, Stepney",942.4035973904939
"BBC White City, White City",1548.451654605703
"Baker Street, Marylebone",1116.8065155413392
"Baldwin Street, St. Luke's",1011.0127004223583
"Bancroft Road, Bethnal Green",1039.8078028389793
"Bank of England Museum, Bank",942.8604874819677
"Bankside Mix, Bankside",1069.280766173997
"Barbican Centre, Barbican",980.724983645691
"Barons Court Station, West Kensington",840.227978924615
"Bath Street, St. Luke's",876.8488200244756
"Battersea Church Road, Battersea",1163.4867106180511
"Battersea Park Road, Nine Elms",1123.8541994612935
"Battersea Power Station, Battersea Park",1468.173797199091
"Bayley Street , Bloomsbury",1131.2268138455354
"Baylis Road, Waterloo",1067.2109826883911
"Bayswater Road, Hyde Park",1750.7830366610053
"Beaumont Street, Marylebone",1142.0795441488306
"Bedford Way, Bloomsbury",1025.9911393190775
"Belford House, Haggerston",1331.3483791062968
"Belgrave Road, Victoria",1243.305994706626
"Belgrave Square, Belgravia",1425.4918640759472
"Belgrove Street , King's Cross",1031.5746257040673
"Bell Lane, Liverpool Street",1051.0986941966607
"Bell Street , Marylebone",1042.6461648404002
"Belvedere Road 1, South Bank",1471.4494189665907
