"station","stationid","latcoord","loncoord"
"Tanner Street, Bermondsey",85,51.500647,-0.0786
"Sancroft Street, Vauxhall",86,51.489479,-0.115156
"Devonshire Square, Liverpool Street",87,51.516468,-0.079684
"Bayley Street , Bloomsbury",88,51.518587,-0.132053
"Tavistock Place, Bloomsbury",89,51.52625,-0.123509
"Harrington Square 1, Camden Town",90,51.533019,-0.139174
"Walnut Tree Walk, Vauxhall",91,51.493686,-0.111014
"Borough Road, Elephant & Castle",92,51.498898,-0.10044
"Cloudesley Road, Angel",93,51.534408,-0.109025
"Bricklayers Arms, Borough",94,51.495061,-0.085814
"Aldersgate Street, Barbican",95,51.520841,-0.09734
"Falkirk Street, Hoxton",96,51.53095,-0.078505
"Gloucester Road (North), Kensington",97,51.497924,-0.183834
"Hampstead Road, Euston",98,51.525542,-0.138231
"Old Quebec Street, Marylebone",99,51.514577,-0.158264
"Albert Embankment, Vauxhall",100,51.490435,-0.122806
"Queen Street 1, Bank",101,51.511553,-0.09294
"Jewry Street, Aldgate",102,51.513406,-0.076793
"Vicarage Gate, Kensington",103,51.504723,-0.192538
"Crosswall, Tower",104,51.511594,-0.077121
"Westbourne Grove, Bayswater",105,51.515529,-0.19024
"Woodstock Street, Mayfair",106,51.514105,-0.147301
"Finsbury Leisure Centre, St. Luke's",107,51.526008,-0.096317
"Abbey Orchard Street, Westminster",108,51.498125,-0.132102
"Soho Square , Soho",109,51.515631,-0.132328
"Wellington Road, St. John's Wood",110,51.533043,-0.172528
"Park Lane , Hyde Park",111,51.510017,-0.157275
"Stonecutter Street, Holborn",112,51.515809,-0.10527
"Gloucester Road (Central), South Kensington",113,51.496462,-0.183289
"Park Road (Baker Street), The Regent's Park",114,51.524517,-0.158963
"Braham Street, Aldgate",115,51.514233,-0.073537
"Little Argyll Street, West End",116,51.514499,-0.141423
"Lollard Street, Vauxhall",117,51.49288,-0.114934
"Rochester Row, Westminster",118,51.495827,-0.135478
"Bath Street, St. Luke's",119,51.525893,-0.090847
"The Guildhall, Guildhall",120,51.515735,-0.09308
"Baker Street, Marylebone",121,51.518913,-0.156166
"Norton Folgate, Liverpool Street",122,51.521113,-0.078869
"St. John Street, Finsbury",123,51.52836,-0.104724
"Eaton Square, Belgravia",124,51.496544,-0.150905
"Borough High Street, The Borough",125,51.500694,-0.094524
"Museum of London, Barbican",126,51.517821,-0.096496
"Wood Street, Guildhall",127,51.517008,-0.093885
"Emperor's Gate, South Kensington",128,51.495362,-0.185296
"Golden Square, Soho",129,51.511897,-0.137043
"Tower Gardens , Tower",130,51.509506,-0.075459
"Eversholt Street , Camden Town",131,51.533005,-0.136792
"Bethnal Green Road, Shoreditch",132,51.523648,-0.074754
"Derry Street, Kensington",133,51.501364,-0.191462
"Wapping High Street, Wapping",134,51.504904,-0.06797
"Clerkenwell Green, Clerkenwell",135,51.52326,-0.104708
"Queen Victoria Street, St. Paul's",136,51.511961,-0.097441
"Green Street, Mayfair",138,51.512276,-0.157436
"Lambeth Road, Vauxhall",139,51.494881,-0.117974
"Finsbury Square , Moorgate",140,51.520962,-0.085634
"Chapel Place, Marylebone",141,51.515308,-0.147203
"West Cromwell Road, Earl's Court",142,51.493724,-0.198286
"Pont Street, Knightsbridge",143,51.496886,-0.161203
"Kennington Cross, Kennington",144,51.48894,-0.111435
"Ilchester Place, Kensington",145,51.500743,-0.202759
"Vauxhall Bridge , Pimlico",146,51.488365,-0.129361
"Portugal Street, Holborn",147,51.514943,-0.116146
"Tachbrook Street, Victoria",148,51.492111,-0.138364
"Kennington Road Post Office, Oval",149,51.484788,-0.110683
"Holy Trinity Brompton, Knightsbridge",150,51.497056,-0.168917
"Chepstow Villas, Notting Hill",151,51.512136,-0.201554
"Hampton Street, Walworth",152,51.49217,-0.101536
"Bayswater Road, Hyde Park",153,51.511933,-0.174411
"Waterloo Station 3, Waterloo",154,51.503791,-0.112824
"Lexham Gardens, Kensington",155,51.495866,-0.191933
"New Kent Road, The Borough",156,51.494436,-0.092921
"Wright's Lane, Kensington",157,51.500397,-0.193068
"Trebovir Road, Earl's Court",158,51.490853,-0.19617
"Waterloo Place, St. James's",160,51.506633,-0.131773
"Guildhouse Street, Victoria",161,51.492345,-0.141334
"Southampton Place, Holborn",162,51.517606,-0.121328
"Sloane Avenue, Knightsbridge",163,51.493184,-0.167894
"Cleveland Gardens, Bayswater",164,51.515607,-0.183118
"Orsett Terrace, Bayswater",165,51.517932,-0.183716
"Seville Street, Knightsbridge",166,51.501855,-0.159237
"Wren Street, Holborn",433,51.524564,-0.116279
"Kennington Station, Kennington",435,51.488852,-0.105593
"Red Lion Street, Holborn",436,51.51824,-0.11655
"Vauxhall Walk, Vauxhall",437,51.488124,-0.120903
"Killick Street, King's Cross",439,51.5338,-0.118677
"Kennington Oval, Oval",440,51.483145,-0.113134
"Sail Street, Vauxhall",441,51.495656,-0.114605
"Walmer Road, Avondale",442,51.510101,-0.211358
"Philpot Street, Whitechapel",443,51.515256,-0.058641
"Bethnal Green Garden, Bethnal Green",444,51.52568,-0.055312
"Cheshire Street, Bethnal Green",445,51.52388,-0.065076
"York Hall, Bethnal Green",446,51.528936,-0.055894
"Jubilee Crescent, Cubitt Town",447,51.493381,-0.007542
"Fisherman's Walk West, Canary Wharf",448,51.50623,-0.02296
"Shadwell Station, Shadwell",449,51.511088,-0.057159
"Jubilee Street, Stepney",450,51.515975,-0.053177
"Hermitage Court, Wapping",451,51.504719,-0.063531
"St. Katharine's Way, Tower",452,51.505697,-0.070542
"Garnet Street, Shadwell",453,51.508447,-0.055167
"Napier Avenue, Millwall",454,51.487679,-0.021582
"East Ferry Road, Cubitt Town",455,51.49447,-0.014409
"Parkway, Camden Town",456,51.538071,-0.144664
"Castlehaven Road, Camden Town",457,51.542138,-0.145393
"Wapping Lane, Wapping",458,51.504749,-0.057544
"Gunmakers Lane, Old Ford",459,51.535179,-0.03338
"Burdett Road, Mile End",460,51.516196,-0.029138
"Aston Street, Stepney",461,51.516,-0.038775
"Bonny Street, Camden Town",462,51.541603,-0.138853
"Thurtle Road, Haggerston",463,51.534776,-0.071881
"St. Mary & St. Michael Church, Stepney",464,51.51417,-0.052099
"Pitfield Street North,Hoxton",465,51.53558,-0.08249
"Whiston Road, Haggerston",466,51.534464,-0.076341
"Southern Grove, Bow",467,51.523538,-0.030556
"Cantrell Road, Bow",468,51.521564,-0.022694
"Lindfield Street, Poplar",469,51.513757,-0.020467
"Mostyn Grove, Bow",470,51.530535,-0.025492
"Hewison Street, Old Ford",471,51.533283,-0.028155
"Malmesbury Road, Bow",472,51.529452,-0.027616
"Millharbour, Millwall",473,51.496137,-0.019355
"Gascoyne Road, Victoria Park",474,51.541515,-0.038557
"Lightermans Road, Millwall",475,51.499041,-0.020157
"Stebondale Street, Cubitt Town",476,51.489096,-0.009205
"Spindrift Avenue, Millwall",477,51.49109,-0.018716
"Stepney Green Station, Stepney",478,51.521889,-0.04667
"Pott Street, Bethnal Green",479,51.527152,-0.058005
"Flamborough Street, Limehouse",480,51.512871,-0.038986
"Saunders Ness Road, Cubitt Town",481,51.487129,-0.009001
"Albert Gardens, Stepney",483,51.51328,-0.047784
"Bromley High Street, Bow",484,51.528828,-0.013258
"Old Ford Road, Bethnal Green",485,51.531127,-0.048017
"Granby Street, Shoreditch",486,51.525645,-0.069543
"Canton Street, Poplar",487,51.511811,-0.025626
"Reardon Street, Wapping",488,51.506946,-0.058681
"Pennington Street, Wapping",490,51.508622,-0.065006
"Queen Mary's, Mile End",491,51.522507,-0.041378
"Maplin Street, Mile End",492,51.525501,-0.032267
"South Quay East, Canary Wharf",494,51.50196,-0.016251
"Bow Church Station, Bow",495,51.528169,-0.018703
"Devons Road, Bow",496,51.52512,-0.015578
"Merchant Street, Bow",497,51.526578,-0.027581
"Bow Road Station, Bow",498,51.527058,-0.025296
"Furze Green, Bow",499,51.519265,-0.021345
"Ansell House, Stepney",500,51.520019,-0.05438
"Cephas Street, Bethnal Green",501,51.522561,-0.054883
"Bonner Gate, Victoria Park",502,51.53341,-0.049591
"Cleveland Way, Stepney",503,51.520893,-0.051394
"St. John's Park, Cubitt Town",504,51.496454,-0.009506
"Ackroyd Drive, Bow",505,51.520398,-0.026768
"Bell Lane, Liverpool Street",506,51.517475,-0.075855
"Clarkson Street, Bethnal Green",507,51.528692,-0.059091
"Fournier Street, Whitechapel",508,51.519362,-0.074431
"Fore Street, Guildhall",509,51.517842,-0.090075
"Westferry DLR, Limehouse",510,51.509303,-0.025996
"Sutton Street, Shadwell",511,51.511066,-0.053558
"Pritchard's Road, Bethnal Green",512,51.532091,-0.06142
"Watney Market, Stepney",513,51.514222,-0.055656
"Portman Square, Marylebone",514,51.516204,-0.155525
"Russell Gardens, Olympia",515,51.500088,-0.211316
"Chrisp Street Market, Poplar",516,51.5112,-0.014438
"Hurlingham Park, Parsons Green",774,51.470131,-0.20464
"Little Brook Green, Brook Green",775,51.496664,-0.223868
"Abyssinia Close, Clapham Junction",776,51.460333,-0.167029
"Limburg Road, Clapham Junction",777,51.461923,-0.165297
"Houndsditch, Aldgate",779,51.514449,-0.077178
"Imperial Wharf Station, Sands End",780,51.474665,-0.183165
"Victoria & Albert Museum, South Kensington",781,51.495898,-0.173009
"Halford Road, West Kensington",782,51.483911,-0.197609
"Monier Road, Hackney Wick",783,51.540311,-0.02163
"East Village, Queen Elizabeth Olympic Park",784,51.546326,-0.009935
