Name,geometry
"Tanner Street, Bermondsey",POINT (-0.0786 51.500647)
"Sancroft Street, Vauxhall",POINT (-0.115156 51.489479)
"Devonshire Square, Liverpool Street",POINT (-0.079684 51.516468)
"Bayley Street , Bloomsbury",POINT (-0.132053 51.518587)
"Tavistock Place, Bloomsbury",POINT (-0.123509 51.52625)
"Harrington Square 1, Camden Town",POINT (-0.139174 51.533019)
"Walnut Tree Walk, Vauxhall",POINT (-0.111014 51.493686)
"Borough Road, Elephant & Castle",POINT (-0.10044 51.498898)
"Cloudesley Road, Angel",POINT (-0.109025 51.534408)
"Bricklayers Arms, Borough",POINT (-0.085814 51.495061)
"Aldersgate Street, Barbican",POINT (-0.09734 51.520841)
"Falkirk Street, Hoxton",POINT (-0.078505 51.53095)
"Gloucester Road (North), Kensington",POINT (-0.183834 51.497924)
"Hampstead Road, Euston",POINT (-0.138231 51.525542)
"Old Quebec Street, Marylebone",POINT (-0.158264 51.514577)
"Albert Embankment, Vauxhall",POINT (-0.122806 51.490435)
"Queen Street 1, Bank",POINT (-0.09294 51.511553)
"Jewry Street, Aldgate",POINT (-0.076793 51.513406)
"Vicarage Gate, Kensington",POINT (-0.192538 51.504723)
"Crosswall, Tower",POINT (-0.077121 51.511594)
"Westbourne Grove, Bayswater",POINT (-0.19024 51.515529)
"Woodstock Street, Mayfair",POINT (-0.147301 51.514105)
"Finsbury Leisure Centre, St. Luke's",POINT (-0.096317 51.526008)
"Abbey Orchard Street, Westminster",POINT (-0.132102 51.498125)
"Soho Square , Soho",POINT (-0.132328 51.515631)
"Wellington Road, St. John's Wood",POINT (-0.172528 51.533043)
"Park Lane , Hyde Park",POINT (-0.157275 51.510017)
"Stonecutter Street, Holborn",POINT (-0.10527 51.515809)
"Gloucester Road (Central), South Kensington",POINT (-0.183289 51.496462)
"Park Road (Baker Street), The Regent's Park",POINT (-0.158963 51.524517)
"Braham Street, Aldgate",POINT (-0.073537 51.514233)
"Little Argyll Street, West End",POINT (-0.141423 51.514499)
