end_station_name,0
"Abbey Orchard Street, Westminster",133956
"Abbotsbury Road, Holland Park",32127
"Aberdeen Place, St. John's Wood",45249
"Aberfeldy Street, Poplar",18922
"Abingdon Green, Westminster",153104
"Abingdon Villas, Kensington",58779
"Abyssinia Close, Clapham Junction",50571
"Ackroyd Drive, Bow",49066
"Ada Street, Hackney Central",102942
"Addison Road, Holland Park",36365
"Aintree Street, Fulham",76861
"Albany Street, The Regent's Park",80461
"Albert Bridge Road, Battersea Park",117588
"Albert Embankment, Vauxhall",78390
"Albert Gardens, Stepney",78856
"Albert Gate, Hyde Park",429542
"Albert Square, Stockwell",66768
"Alderney Street, Pimlico",109329
"Aldersgate Street, Barbican",175605
"Alfreda Street, Battersea Park",72277
"All Saints Church, Portobello",127482
"All Saints' Road, Portobello",49651
"Allington Street, Victoria",139862
"Alma Road, Wandsworth",29729
"Alpha Grove, Millwall",34347
"Ampton Street , Clerkenwell",64025
"Ansell House, Stepney",97844
"Antill Road, Mile End",61717
"Aquatic Centre, Queen Elizabeth Olympic Park",285475
"Archbishop's Park, Waterloo",77259
"Argyll Road, Kensington",67707
"Arlington Road, Camden Town",70662
Arundel Street,35343
"Ashley Crescent, Battersea",67166
"Ashley Place, Victoria",170970
"Ashmole Estate, Oval",67074
"Aston Street, Stepney",42891
"Austin Road, Battersea Park",87887
"Aylward Street, Stepney",48278
"BBC White City, White City",70497
"Baker Street, Marylebone",84547
"Baldwin Street, St. Luke's",100355
"Bancroft Road, Bethnal Green",62336
"Bank of England Museum, Bank",172013
"Bankside Mix, Bankside",188347
"Barbican Centre, Barbican",90057
"Barons Court Station, West Kensington",98446
"Bath Street, St. Luke's",152022
"Battersea Church Road, Battersea",77399
"Battersea Park Road, Nine Elms",80377
"Battersea Power Station, Battersea Park",133116
"Bayley Street , Bloomsbury",143218
"Baylis Road, Waterloo",205047
"Bayswater Road, Hyde Park",206991
"Beaumont Street, Marylebone",94304
"Bedford Way, Bloomsbury",61411
"Belford House, Haggerston",41145
"Belgrave Road, Victoria",125621
"Belgrave Square, Belgravia",55497
"Belgrove Street , King's Cross",546358
"Bell Lane, Liverpool Street",99653
"Bell Street , Marylebone",80455
"Belvedere Road 1, South Bank",150019
"Belvedere Road 2, South Bank",69823
"Bermondsey Station, Bermondsey",20743
"Bermondsey Street, Bermondsey",163737
"Berry Street, Clerkenwell",165659
"Beryl Road, Hammersmith",58532
"Bethnal Green Garden, Bethnal Green",82646
"Bethnal Green Road, Shoreditch",295267
"Bevington Road West, North Kensington",73795
"Binfield Road, Stockwell",131082
"Birkenhead Street, King's Cross",97930
"Bishop's Avenue, Fulham",80074
"Bishop's Bridge Road East, Bayswater",45183
"Bishop's Bridge Road West, Bayswater",109778
"Black Lion Gate, Kensington Gardens",418413
"Black Prince Road, Vauxhall",86961
"Blackfriars Road, Southwark",90750
"Blackfriars Station, St. Paul's",47731
"Blenheim Crescent, Ladbroke Grove",88215
"Blythe Road West, Shepherd's Bush",47739
"Blythe Road, Olympia",5111
"Bolsover Street, Fitzrovia",122676
"Bonner Gate, Victoria Park",67651
"Bonny Street, Camden Town",120959
"Borough High Street, The Borough",92450
"Borough Road, Elephant & Castle",73587
"Boston Place, Marylebone",119675
"Bourne Street, Belgravia",75323
"Bouverie Street, Temple",123011
"Bow Church Station, Bow",86747
"Bow Road Station, Bow",74728
"Braham Street, Aldgate",147850
"Bramham Gardens, Earl's Court",122374
"Breams Buildings, Holborn",62071
"Brick Lane Market, Shoreditch",116385
"Bricklayers Arms, Borough",123354
"Bridge Avenue, Hammersmith",93150
"British Museum, Bloomsbury",145457
"Broadcasting House, Marylebone",113426
"Broadley Terrace, Marylebone",30631
"Broadwick Street, Soho",112918
"Bromley High Street, Bow",37952
"Brook Green South, Brook Green",64250
"Broomhouse Lane, Parsons Green",31547
"Brunswick Square, Bloomsbury",101214
"Brushfield Street, Liverpool Street",348782
"Bruton Street, Mayfair",71092
"Buckingham Gate, Westminster",133744
"Bunhill Row, Moorgate",164224
"Burdett Road, Mile End",70617
"Bury Place, Holborn",83984
"Butler Place, Westminster",76977
"Buxton Street 1, Shoreditch",44870
"Cadogan Close, Victoria Park",117699
"Cadogan Gardens, Chelsea",122124
"Cadogan Place, Knightsbridge",85939
"Caldwell Street, Stockwell",93389
"Calshot Street , King's Cross",35499
"Campden Hill Road, Notting Hill",31170
"Canada Water Station, Rotherhithe",24635
"Canton Street, Poplar",37326
"Cantrell Road, Bow",25690
"Carey Street, Holborn",42569
"Carnegie Street, King's Cross",51206
"Cartwright Gardens , Bloomsbury",94764
"Castlehaven Road, Camden Town",128882
"Central House, Whitechapel",106849
"Cephas Street, Bethnal Green",70366
"Chadwell Street, Angel",99404
"Chancery Lane, Holborn",61253
"Chapel Place, Marylebone",113612
"Charing Cross Hospital, Hammersmith",64592
"Charlbert Street, St. John's Wood",54494
"Charles II Street, West End",111954
"Charlotte Street, Fitzrovia",96282
"Charlotte Terrace, Angel",50879
"Cheapside, Bank",261824
"Chelsea Bridge, Pimlico",92842
"Chelsea Green, Chelsea",70488
"Chepstow Villas, Notting Hill",64799
"Cheshire Street, Bethnal Green",60616
"Chesilton Road, Fulham",92281
"Chrisp Street Market, Poplar",52196
"Christian Street, Whitechapel",86900
"Christopher Street, Liverpool Street",105371
"City Road, Angel",71794
"Clapham Common North Side, Clapham Common",99550
"Clapham Common Station, Clapham Common",61356
"Clapham Road, Lingham Street, Stockwell",46074
"Claremont Square, Angel",42694
"Clarence Walk, Stockwell",45954
"Clarendon Road, Avondale",40750
"Clarges Street, Mayfair",41559
"Clarkson Street, Bethnal Green",40800
"Claverton Street, Pimlico",69967
"Cleaver Street, Kennington",45395
"Clements Road, Bermondsey",70992
"Clerkenwell Green, Clerkenwell",150803
"Cleveland Gardens, Bayswater",57709
"Cleveland Way, Stepney",132399
"Clifford Street, Mayfair",43662
"Clifton Road, Maida Vale",83636
"Clifton Street, Shoreditch",57698
"Clinton Road, Mile End",79943
"Cloudesley Road, Angel",53455
"Colet Gardens, Hammersmith",10848
"Collingham Gardens, Earl's Court",66355
"Colombo Street, Southwark",44798
"Columbia Road, Shoreditch",104593
"Commercial Street, Shoreditch",92842
"Concert Hall Approach 1, South Bank",81911
"Concert Hall Approach 2, South Bank",89658
"Coomer Place, West Kensington",99296
"Copper Box Arena, Queen Elizabeth Olympic Park",34132
