station,value,stationid,lat,lon,geometry
"Abbey Orchard Street, Westminster",111625,108,51.498125,-0.132102,Point (-0.132102 51.498125)
"Abbotsbury Road, Holland Park",34920,559,51.501391,-0.205991,Point (-0.205991 51.501391)
"Aberdeen Place, St. John's Wood",55495,394,51.524826,-0.176268,Point (-0.176268 51.524826)
"Aberfeldy Street, Poplar",19018,554,51.513548,-0.005659,Point (-0.005659 51.513548)
"Abingdon Green, Westminster",128074,583,51.49764,-0.125972,Point (-0.125972 51.49764)
"Abingdon Villas, Kensington",59240,38,51.497387,-0.197245,Point (-0.197245 51.497387)
"Abyssinia Close, Clapham Junction",48306,776,51.460333,-0.167029,Point (-0.167029 51.460333)
"Ackroyd Drive, Bow",54028,505,51.520398,-0.026768,Point (-0.026768 51.520398)
"Ada Street, Hackney Central",98730,718,51.535716,-0.060291,Point (-0.060291 51.535716)
"Addison Road, Holland Park",37375,606,51.504199,-0.210941,Point (-0.210941 51.504199)
"Aintree Street, Fulham",81110,616,51.481021,-0.209973,Point (-0.209973 51.481021)
"Albany Street, The Regent's Park",95894,540,51.528302,-0.144466,Point (-0.144466 51.528302)
"Albert Bridge Road, Battersea Park",120976,710,51.474392,-0.163347,Point (-0.163347 51.474392)
"Albert Embankment, Vauxhall",82951,100,51.490435,-0.122806,Point (-0.122806 51.490435)
"Albert Gardens, Stepney",85305,483,51.51328,-0.047784,Point (-0.047784 51.51328)
"Albert Gate, Hyde Park",425628,303,51.502953,-0.158456,Point (-0.158456 51.502953)
"Albert Square, Stockwell",72548,802,51.47659,-0.118256,Point (-0.118256 51.47659)
"Alderney Street, Pimlico",116671,185,51.488057,-0.140741,Point (-0.140741 51.488057)
"Aldersgate Street, Barbican",168934,95,51.520841,-0.09734,Point (-0.09734 51.520841)
"Alfreda Street, Battersea Park",73922,726,51.47505,-0.150908,Point (-0.150908 51.47505)
"All Saints Church, Portobello",128996,661,51.51632,-0.202608,Point (-0.202608 51.51632)
"All Saints' Road, Portobello",51980,643,51.519042,-0.204764,Point (-0.204764 51.519042)
"Allington Street, Victoria",138403,826,51.496863,-0.142943,Point (-0.142943 51.496863)
"Alma Road, Wandsworth",37679,724,51.457991,-0.184806,Point (-0.184806 51.457991)
"Alpha Grove, Millwall",33892,576,51.497304,-0.022793,Point (-0.022793 51.497304)
"Ampton Street , Clerkenwell",72835,26,51.52728,-0.118295,Point (-0.118295 51.52728)
"Ansell House, Stepney",104245,500,51.520019,-0.05438,Point (-0.05438 51.520019)
"Antill Road, Mile End",66788,518,51.528224,-0.037471,Point (-0.037471 51.528224)
"Aquatic Centre, Queen Elizabeth Olympic Park",282481,785,51.54094,-0.01051,Point (-0.01051 51.54094)
"Archbishop's Park, Waterloo",71773,641,51.498241,-0.117495,Point (-0.117495 51.498241)
"Argyll Road, Kensington",66139,168,51.500401,-0.195455,Point (-0.195455 51.500401)
"Arlington Road, Camden Town",70413,545,51.539957,-0.145246,Point (-0.145246 51.539957)
Arundel Street,33428,1002,51.51165,-0.113885,Point (-0.113885 51.51165)
"Ashley Crescent, Battersea",71176,670,51.467185,-0.152248,Point (-0.152248 51.467185)
"Ashley Place, Victoria",162792,177,51.49616,-0.140947,Point (-0.140947 51.49616)
"Ashmole Estate, Oval",70702,654,51.482678,-0.117661,Point (-0.117661 51.482678)
"Aston Street, Stepney",45422,461,51.516,-0.038775,Point (-0.038775 51.516)
"Austin Road, Battersea Park",92152,664,51.474376,-0.155442,Point (-0.155442 51.474376)
"Aylward Street, Stepney",53650,715,51.51563,-0.049067,Point (-0.049067 51.51563)
"BBC White City, White City",67297,601,51.514767,-0.225787,Point (-0.225787 51.514767)
"Baker Street, Marylebone",86286,121,51.518913,-0.156166,Point (-0.156166 51.518913)
"Baldwin Street, St. Luke's",101100,319,51.527025,-0.088542,Point (-0.088542 51.527025)
"Bancroft Road, Bethnal Green",68898,520,51.526041,-0.047218,Point (-0.047218 51.526041)
"Bank of England Museum, Bank",160129,340,51.514441,-0.087587,Point (-0.087587 51.514441)
"Bankside Mix, Bankside",162313,193,51.505817,-0.100186,Point (-0.100186 51.505817)
"Barbican Centre, Barbican",87133,275,51.520044,-0.092176,Point (-0.092176 51.520044)
"Barons Court Station, West Kensington",103628,707,51.490217,-0.215087,Point (-0.215087 51.490217)
"Bath Street, St. Luke's",149537,119,51.525893,-0.090847,Point (-0.090847 51.525893)
"Battersea Church Road, Battersea",81757,700,51.476964,-0.174347,Point (-0.174347 51.476964)
"Battersea Park Road, Nine Elms",85761,631,51.479501,-0.14177,Point (-0.14177 51.479501)
"Battersea Power Station, Battersea Park",137741,821,51.483507,-0.147714,Point (-0.147714 51.483507)
"Bayley Street , Bloomsbury",136795,88,51.518587,-0.132053,Point (-0.132053 51.518587)
"Baylis Road, Waterloo",196400,272,51.501444,-0.110699,Point (-0.110699 51.501444)
"Bayswater Road, Hyde Park",213142,153,51.511933,-0.174411,Point (-0.174411 51.511933)
"Beaumont Street, Marylebone",95733,242,51.522008,-0.151359,Point (-0.151359 51.522008)
"Bedford Way, Bloomsbury",64445,287,51.523673,-0.128377,Point (-0.128377 51.523673)
"Belford House, Haggerston",50867,699,51.536654,-0.07023,Point (-0.07023 51.536654)
"Belgrave Road, Victoria",127329,268,51.493204,-0.144132,Point (-0.144132 51.493204)
"Belgrave Square, Belgravia",56355,181,51.499412,-0.152317,Point (-0.152317 51.499412)
"Belgrove Street , King's Cross",552504,14,51.529943,-0.123616,Point (-0.123616 51.529943)
"Bell Lane, Liverpool Street",96188,506,51.517475,-0.075855,Point (-0.075855 51.517475)
"Bell Street , Marylebone",83960,182,51.522029,-0.165842,Point (-0.165842 51.522029)
"Belvedere Road 1, South Bank",134932,273,51.506133,-0.114686,Point (-0.114686 51.506133)
"Belvedere Road 2, South Bank",63950,819,51.50621,-0.114842,Point (-0.114842 51.50621)
"Bermondsey Station, Bermondsey",19555,845,51.497995,-0.063471,Point (-0.063471 51.497995)
