,source,target,value,source_id,target_id
0,"Hyde Park Corner, Hyde Park","Hyde Park Corner, Hyde Park",146849,0,0
1,"Hyde Park Corner, Hyde Park","Albert Gate, Hyde Park",30564,0,1
2,"Hyde Park Corner, Hyde Park","Triangle Car Park, Hyde Park",29700,0,2
3,"Hyde Park Corner, Hyde Park","Black Lion Gate, Kensington Gardens",24921,0,3
4,"Hyde Park Corner, Hyde Park","Serpentine Car Park, Hyde Park",24359,0,4
5,"Hyde Park Corner, Hyde Park","Park Lane , Hyde Park",15762,0,5
6,"Hyde Park Corner, Hyde Park","Queen's Gate, Kensington Gardens",15221,0,6
7,"Hyde Park Corner, Hyde Park","Palace Gate, Kensington Gardens",13586,0,7
8,"Hyde Park Corner, Hyde Park","Bayswater Road, Hyde Park",8576,0,8
9,"Hyde Park Corner, Hyde Park","Wellington Arch, Hyde Park",6970,0,9
10,"Belgrove Street , King's Cross","Red Lion Street, Holborn",12228,48,10
11,"Belgrove Street , King's Cross","Soho Square , Soho",10274,48,11
12,"Belgrove Street , King's Cross","Holborn Circus, Holborn",9950,48,12
13,"Belgrove Street , King's Cross","Wren Street, Holborn",9614,48,13
14,"Belgrove Street , King's Cross","Great Marlborough St, Soho",8403,48,14
15,"Belgrove Street , King's Cross","Bayley Street , Bloomsbury",7298,48,15
16,"Belgrove Street , King's Cross","Guilford Street , Bloomsbury",7183,48,16
17,"Belgrove Street , King's Cross","Newgate Street , St. Paul's",7081,48,17
18,"Belgrove Street , King's Cross","Theobald's Road , Holborn",6632,48,18
19,"Belgrove Street , King's Cross","British Museum, Bloomsbury",6310,48,19
20,"Waterloo Station 3, Waterloo","Newgate Street , St. Paul's",11943,42,17
21,"Waterloo Station 3, Waterloo","Godliman Street, St. Paul's",10970,42,20
22,"Waterloo Station 3, Waterloo","Queen Victoria Street, St. Paul's",9813,42,21
23,"Waterloo Station 3, Waterloo","Queen Street 2, Bank",9427,42,22
24,"Waterloo Station 3, Waterloo","Wormwood Street, Liverpool Street",9331,42,23
25,"Waterloo Station 3, Waterloo","Queen Street 1, Bank",9310,42,24
26,"Waterloo Station 3, Waterloo","Finsbury Circus, Liverpool Street",8840,42,25
27,"Waterloo Station 3, Waterloo","St. Bride Street, Holborn",8496,42,26
28,"Waterloo Station 3, Waterloo","Cheapside, Bank",8251,42,27
29,"Waterloo Station 3, Waterloo","Moorfields, Moorgate",7379,42,28
30,"Albert Gate, Hyde Park","Albert Gate, Hyde Park",81142,1,1
31,"Albert Gate, Hyde Park","Hyde Park Corner, Hyde Park",27525,1,0
32,"Albert Gate, Hyde Park","Black Lion Gate, Kensington Gardens",17361,1,3
33,"Albert Gate, Hyde Park","Triangle Car Park, Hyde Park",15025,1,2
34,"Albert Gate, Hyde Park","Park Lane , Hyde Park",14567,1,5
35,"Albert Gate, Hyde Park","Serpentine Car Park, Hyde Park",12293,1,4
36,"Albert Gate, Hyde Park","Palace Gate, Kensington Gardens",9261,1,7
37,"Albert Gate, Hyde Park","Queen's Gate, Kensington Gardens",7442,1,6
38,"Albert Gate, Hyde Park","Speakers' Corner 1, Hyde Park",6251,1,29
39,"Albert Gate, Hyde Park","Bayswater Road, Hyde Park",5929,1,8
40,"Black Lion Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens",78851,3,3
41,"Black Lion Gate, Kensington Gardens","Palace Gate, Kensington Gardens",28827,3,7
42,"Black Lion Gate, Kensington Gardens","Hyde Park Corner, Hyde Park",27607,3,0
43,"Black Lion Gate, Kensington Gardens","Albert Gate, Hyde Park",20421,3,1
44,"Black Lion Gate, Kensington Gardens","Serpentine Car Park, Hyde Park",9560,3,4
45,"Black Lion Gate, Kensington Gardens","Queen's Gate, Kensington Gardens",9317,3,6
46,"Black Lion Gate, Kensington Gardens","Triangle Car Park, Hyde Park",8963,3,2
47,"Black Lion Gate, Kensington Gardens","Park Lane , Hyde Park",7050,3,5
48,"Black Lion Gate, Kensington Gardens","Wellington Arch, Hyde Park",6091,3,9
