name,wkt
"Hyde Park Corner, Hyde Park to Hyde Park Corner, Hyde Park",POINT (-0.15352 51.503117)
"Albert Gate, Hyde Park to Albert Gate, Hyde Park",POINT (-0.158456 51.502953)
"Aquatic Centre, Queen Elizabeth Olympic Park to Aquatic Centre, Queen Elizabeth Olympic Park",POINT (-0.01051 51.54094)
"Black Lion Gate, Kensington Gardens to Black Lion Gate, Kensington Gardens",POINT (-0.187842 51.509908)
"Triangle Car Park, Hyde Park to Triangle Car Park, Hyde Park",POINT (-0.170279 51.506451)
"Park Lane , Hyde Park to Park Lane , Hyde Park",POINT (-0.157275 51.510017)
"Podium, Queen Elizabeth Olympic Park to Podium, Queen Elizabeth Olympic Park",POINT (-0.011889 51.538718)
"Palace Gate, Kensington Gardens to Palace Gate, Kensington Gardens",POINT (-0.1844 51.502042)
"Wellington Arch, Hyde Park to Wellington Arch, Hyde Park",POINT (-0.149569 51.50274)



