month,trips(month),duration(month),meanduration(month),meantrips(month)
1,5600667,1165.620989964231,1287.7976052481874,6370853.75
2,5304270,1233.9879700693969,1287.7976052481874,6370853.75
3,5682584,1261.5129097238805,1287.7976052481874,6370853.75
4,6135850,1361.1487536364154,1287.7976052481874,6370853.75
5,7758880,1439.9934598765929,1287.7976052481874,6370853.75
6,7892434,1371.578931923916,1287.7976052481874,6370853.75
7,7427311,1375.057751587351,1287.7976052481874,6370853.75
8,6883958,1356.1545609371817,1287.7976052481874,6370853.75
9,6831638,1252.5183107427845,1287.7976052481874,6370853.75
10,6436095,1191.7320948630356,1287.7976052481874,6370853.75
11,5686446,1158.813221474362,1287.7976052481874,6370853.75
12,4810112,1285.4523081791026,1287.7976052481874,6370853.75
